,date,pollster,n,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
0,2023-10-11,Verity Insights,1576.0,0.33299999999999996,0.389,,0.156,0.055999999999999994,0.066
1,2023-10-12,Bardi University,683.0,0.307,0.405,,0.11699999999999999,,0.171
2,2023-10-12,Pulse Analytics,2033.0,0.32299999999999995,0.37,,0.128,0.086,0.09300000000000001
3,2023-10-13,Mawmsey Reports,3154.0,0.303,0.377,,0.151,0.086,0.083
4,2023-10-14,Policy Voice Polling,1427.0,0.29600000000000004,0.38799999999999996,,0.17600000000000002,0.077,0.063
5,2023-10-16,DemocracyMeter,724.0,0.32,0.36,,0.13,0.12,0.06
6,2023-10-18,Bardi University,709.0,0.32,0.376,,0.141,0.085,0.078
7,2023-10-18,Capitol Opinion Research,1048.0,0.292,0.363,0.035,0.161,0.1,0.049
8,2023-10-18,Verity Insights,1488.0,0.32899999999999996,0.38299999999999995,,0.13699999999999998,0.068,0.083
9,2023-10-21,Policy Voice Polling,1404.0,0.305,0.348,0.08,0.147,0.086,0.035
10,2023-10-22,Civic Pulse,2769.0,0.27,0.37,,0.2,0.08,0.07
11,2023-10-23,DemocracyMeter,724.0,0.3,0.35,,0.15,0.09,0.1
12,2023-10-23,Mandate Metrics,1894.0,0.281,0.34700000000000003,0.057,0.162,0.115,0.038
13,2023-10-24,Bardi University,706.0,0.292,0.373,,0.134,0.127,0.07400000000000001
14,2023-10-25,Verity Insights,1499.0,0.273,0.35100000000000003,0.07,0.192,0.057999999999999996,0.055
15,2023-10-26,Pulse Analytics,2002.0,0.29600000000000004,0.324,,0.166,0.094,0.12
16,2023-10-28,Policy Voice Polling,1469.0,0.29600000000000004,0.37,0.068,0.166,0.06,0.04
17,2023-10-30,Bardi University,669.0,0.32299999999999995,0.325,,0.161,0.109,0.083
18,2023-10-30,DemocracyMeter,713.0,0.32,0.33,,0.13,0.1,0.11
19,2023-11-01,Verity Insights,1473.0,0.321,0.326,,0.14,0.10099999999999999,0.11199999999999999
20,2023-11-01,Capitol Opinion Research,1053.0,0.355,0.32299999999999995,,0.131,0.09699999999999999,0.09300000000000001
21,2023-11-03,University of Bellville-sur-Mer,1556.0,0.337,0.313,0.071,0.151,0.091,0.036000000000000004
22,2023-11-04,Policy Voice Polling,1398.0,0.33899999999999997,0.33899999999999997,0.047,0.139,0.12300000000000001,0.012
23,2023-11-05,Bardi University,650.0,0.327,0.318,,0.2,,0.155
24,2023-11-05,Civic Pulse,2559.0,0.35,0.32,0.02,0.15,0.1,0.07
25,2023-11-06,DemocracyMeter,749.0,0.31,0.32,,0.15,0.11,0.11
26,2023-11-06,Mandate Metrics,1950.0,0.35200000000000004,0.33399999999999996,,0.151,0.09,0.073
27,2023-11-08,Verity Insights,1563.0,0.327,0.316,0.059000000000000004,0.153,0.131,0.013999999999999999
28,2023-11-09,Pulse Analytics,2094.0,0.344,0.306,0.057,0.133,0.136,0.025
29,2023-11-11,Policy Voice Polling,1519.0,0.345,0.33,0.037000000000000005,0.15,0.1,0.037000000000000005
30,2023-11-11,Bardi University,689.0,0.345,0.308,,0.126,0.109,0.11199999999999999
31,2023-11-12,Mawmsey Reports,3065.0,0.384,0.314,,0.12300000000000001,0.10099999999999999,0.077
32,2023-11-13,DemocracyMeter,765.0,0.34,0.31,,0.15,0.1,0.1
33,2023-11-15,Capitol Opinion Research,1000.0,0.326,0.331,0.09300000000000001,0.141,0.044000000000000004,0.064
34,2023-11-15,Verity Insights,1515.0,0.318,0.32299999999999995,0.05,0.124,0.121,0.065
35,2023-11-17,Bardi University,686.0,0.35,0.314,,0.13,0.10800000000000001,0.099
37,2023-11-19,Civic Pulse,2569.0,0.38,0.32,0.02,0.09,0.15,0.04
38,2023-11-20,Mandate Metrics,2020.0,0.358,0.337,,0.11699999999999999,0.084,0.10400000000000001
39,2023-11-20,DemocracyMeter,733.0,0.34,0.29,,0.11,0.15,0.1
40,2023-11-22,Verity Insights,1529.0,0.402,0.306,0.046,0.087,0.095,0.064
41,2023-11-23,Bardi University,677.0,0.39799999999999996,0.335,,0.084,0.092,0.091
42,2023-11-23,Pulse Analytics,2096.0,0.40299999999999997,0.32,0.03,0.13699999999999998,0.07400000000000001,0.036000000000000004
43,2023-11-25,Policy Voice Polling,1506.0,0.369,0.341,0.061,0.092,0.113,0.023
44,2023-11-27,DemocracyMeter,710.0,0.35,0.32,,0.14,0.12,0.08
45,2023-11-29,Bardi University,676.0,0.379,0.317,,0.081,0.08199999999999999,0.141
46,2023-11-29,Capitol Opinion Research,981.0,0.368,0.32299999999999995,0.086,0.092,0.07,0.061
47,2023-11-29,Verity Insights,1477.0,0.385,0.308,0.07,0.13,0.044000000000000004,0.063
48,2023-12-01,University of Bellville-sur-Mer,1635.0,0.385,0.34,0.085,0.114,0.055999999999999994,0.021
49,2023-12-02,Policy Voice Polling,1465.0,0.39,0.298,0.055,0.11699999999999999,0.069,0.07
50,2023-12-03,Civic Pulse,2556.0,0.38,0.29,0.06,0.14,0.1,0.04
51,2023-12-04,DemocracyMeter,758.0,0.42,0.32,0.06,0.12,0.02,0.05
52,2023-12-04,Mandate Metrics,1922.0,0.39799999999999996,0.293,0.066,0.114,0.066,0.063
53,2023-12-05,Bardi University,680.0,0.385,0.308,,0.14300000000000002,0.049,0.115
54,2023-12-06,Verity Insights,1539.0,0.385,0.29100000000000004,,0.138,0.061,0.125
55,2023-12-07,Pulse Analytics,1999.0,0.42100000000000004,0.309,0.077,0.091,0.057,0.046
56,2023-12-09,Policy Voice Polling,1525.0,0.35600000000000004,0.29100000000000004,0.09699999999999999,0.13699999999999998,0.053,0.065
57,2023-12-11,DemocracyMeter,729.0,0.35,0.33,0.13,0.12,0.05,0.02
58,2023-12-11,Bardi University,699.0,0.342,0.33,,0.128,0.062,0.138
59,2023-12-12,Mawmsey Reports,3097.0,0.37200000000000005,0.326,0.087,0.11800000000000001,0.031,0.067
